Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Finlay 1977,Ciliates,Loxocephalus,Loxocephalus plagius,AI,Freshwater,30517,20,1.19
Finlay 1977,Ciliates,Paramecium,Paramecium aurelia,AJ,Freshwater,178225,8.5,0.15
Finlay 1977,Ciliates,Paramecium,Paramecium aurelia,AJ,Freshwater,266025,15,0.55
Finlay 1977,Ciliates,Paramecium,Paramecium aurelia,AJ,Freshwater,253998,20,0.96
Finlay 1977,Ciliates,Paramecium,Paramecium bursaria,AK,Freshwater,272101,8.5,0.19
Finlay 1977,Ciliates,Paramecium,Paramecium bursaria,AK,Freshwater,211600,15,0.46
Finlay 1977,Ciliates,Paramecium,Paramecium bursaria,AK,Freshwater,170803,20,0.82
Finlay 1977,Ciliates,Stentor,Stentor polymorphus,AL,Freshwater,1269000,8.5,0.12
Finlay 1977,Ciliates,Stentor,Stentor polymorphus,AL,Freshwater,1933000,15,0.27
Finlay 1977,Ciliates,Stentor,Stentor polymorphus,AL,Freshwater,2366000,20,0.39
Finlay 1977,Ciliates,Spirostomum,Spirostomum teres,AM,Freshwater,212504,8.5,0.02
Finlay 1977,Ciliates,Spirostomum,Spirostomum teres,AM,Freshwater,217400,15,0.18
Finlay 1977,Ciliates,Spirostomum,Spirostomum teres,AM,Freshwater,216150,20,0.2
Laybourn and Stewart 1974,Ciliates,Colpidium,Oxyrrhis marina,AN,Freshwater,43297,20,1.25
Laybourn and Stewart 1974,Ciliates,Colpidium,Oxyrrhis marina,AN,Freshwater,43297,15,0.75
Laybourn and Stewart 1974,Ciliates,Colpidium,Oxyrrhis marina,AN,Freshwater,43297,10,0.49
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,8,0.23
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,10,0.32
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,15,0.68
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,21,1.85
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,26,2.31
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes vannus,AP,Marine,59000,28,2.23
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,17000,5,0.31
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,17000,8,0.55
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,17000,10,0.76
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,17000,17,2
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,17000,22,4.27
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,12000,25,4.62
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,8000,28,5.04
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,8000,31,5.04
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,6000,33,4.5
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,6000,37,4.5
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes balteatus,AQ,Marine,6000,40,2.25
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes antarcticus,AR,Marine,,0,0.16
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes antarcticus,AR,Marine,,5,0.28
Lee and Fenchel 1972,Ciliates,Euplotes,Euplotes antarcticus,AR,Marine,,10,0.28
Martinez 1980,Ciliates,Euplotes,Euplotes crassus,AS,Marine,159882,20,1.21
Martinez 1980,Ciliates,Euplotes,Euplotes crassus,AS,Marine,159882,23,1.43
Martinez 1980,Ciliates,Euplotes,Euplotes crassus,AS,Marine,159882,27,1.62
Martinez 1980,Ciliates,Euplotes,Euplotes crassus,AS,Marine,159882,29,1.99
Martinez 1980,Ciliates,Euplotes,Euplotes crassus,AS,Marine,159882,30,1.65
